Ano;Nº CV SIAFI/ SICONV; Nº CV Interno;Tema;Instituição Convenente;Título do Projeto;UF;Região Geográfica;Cidade da Instituição Convenente;Bioma;Esfera Institucional;Data Assinatura;Data de Publicação no DOU;Data de Fim da Vigência; Recursos do FNMA (R$) ; Recursos de CP (R$) ; Valor Total do Projeto (R$) ;Tipo de Seleção do Projeto;Ação, Edital ou Termo de Referência de Origem do Projeto
1990;;CV001/90;Educação Ambiental;Fundação Nacional do Índio - Funai;I Encontro sobre Meio Ambiente Indígena;DF;Centro Oeste;;Cerrado;Federal;07/12/1990;;31/12/1990; 2.837,01 ; -   ; 2.837,01 ;Demanda Espontânea (DE);Educação Ambiental
1990;;CV002/90;Gestão de Áreas Protegidas;Núcleo de Cultura Indígena da União das Nações Indígenas - NCI/UNI;Serra do Roncador/Xavante: Manejo Indígena de Ecossistemas Nativos dos Cerrados;GO;Centro Oeste;;Cerrado  ;OSC;14/11/1990;;31/12/1990; 41.212,07 ; -   ; 41.212,07 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1990;;CV003/90;Gestão de Áreas Protegidas;Fundação Pró-natureza – Funatura;Conservação da Avifauna da Amazônia;DF;Centro Oeste;;Amazônia ;OSC;13/11/1990;;31/12/1990; 22.907,20 ; -   ; 22.907,20 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1990;;CV004/90;Gestão de Áreas Protegidas;Núcleo de Cultura Indígena da União das Nações Indígenas - NCI/UNI;Metareilá/Suruí: Manejo Indígena de Floresta Tropical Nativa;GO;Centro Oeste;;Amazônia ;OSC;14/11/1990;;31/12/1990; 88.484,75 ; -   ; 88.484,75 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1990;;CV005/90;Amazônia Sustentável;Prefeitura Municipal de Curralinho;Extensão Florestal e Pesquisa nas Áreas das Florestas nacionais do Purus e Mapiá – Inauiní;AM;Norte ;;Amazônia ;Municipal;13/11/1990;22/11/1990;31/12/1990; 304.654,39 ; -   ; 304.654,39 ;Demanda Espontânea (DE);Amazônia Sustentável
1990;;CV006/90;Gestão Integrada de Resíduos Sólidos;Empresa Brasileira de Pesquisa Agropecuária – Embrapa/Cenargen;Caracterização do Cavalo Selvagem de Roraima Visando sua Preservação;DF;Centro Oeste;;Amazônia ;Federal;16/11/1990;26/11/1990;31/12/1990; 15.824,20 ; 12.429,00 ; 28.253,20 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1990;;CV007/90;Amazônia Sustentável;Comissão Pró-Índio do Acre;Sistematização de Informações sobre Populações Indígenas;AC;Norte ;;Amazônia ;OSC;13/11/1990;22/11/1990;31/12/1990; 9.643,00 ; -   ; 9.643,00 ;Demanda Espontânea (DE);Amazônia Sustentável
1990;;CV008/90;Amazônia Sustentável;Comissão Pró-Índio do Acre;Produção de Material para Ações de Conscientização em Comunidades Indígenas;AC;Norte ;;Amazônia ;OSC;13/11/1990;30/11/1990;31/12/1990; 15.949,60 ; -   ; 15.949,60 ;Demanda Espontânea (DE);Amazônia Sustentável
1990;;CV009/90;Qualidade Ambiental;Secretaria de Estado da Saúde Pública do Estado do Pará;Implantação do Laboratório de Referência em Saúde Ambiental;PA;Norte ;;Amazônia ;Estadual;16/11/1990;18/12/1990;31/12/1990; 40.122,22 ; 12.182,00 ; 52.304,22 ;Demanda Espontânea (DE);Qualidade Ambiental
1990;;CV010/90;Qualidade Ambiental;Instituto do Meio Ambiente do Acre - Imac;Atlas Ambiental do Acre e Mapa das Unidades de Conservação do Estado;AC;Norte ;;Amazônia ;Estadual;13/12/1990;21/12/1990;31/12/1990; 58.279,84 ; 10.690,00 ; 68.969,84 ;Demanda Espontânea (DE);Gestão Integrada de Áreas Protegidas
1990;;CV011/90;Gestão Integrada de Resíduos Sólidos;Instituto do Meio Ambiente do Acre - Imac;Inventário Biológico do Estado do Acre;AC;Norte ;;Amazônia ;Estadual;13/12/1990;21/12/1990;31/12/1990; 16.161,93 ; -   ; 16.161,93 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1990;;CV014/90;Amazônia Sustentável;Ibama Sede/DF;Prevfogo;DF;Centro Oeste;;Cerrado;Federal;15/08/1990;23/08/1990;31/12/1990; 395.339,07 ; 707.572,00 ; 1.102.911,07 ;Demanda Espontânea (DE);Amazônia Sustentável
1990;;CV015/90;Amazônia Sustentável;Instituto do Meio Ambiente do Acre - Imac;Ecologia e Manejo da Fauna em Reservas Extrativistas;AC;Norte ;;Amazônia ;Estadual;13/12/1990;24/12/1990;31/12/1990; 7.393,31 ; 37.717,00 ; 45.110,31 ;Demanda Espontânea (DE);Amazônia Sustentável
1990;;CV016/90;Qualidade Ambiental;Instituto do Meio Ambiente do Acre - Imac;Coleta e Beneficiamento do Lixo doméstico na Cidade de Rio Branco, Acre;AC;Norte ;;Amazônia ;Estadual;13/12/1990;24/12/1990;31/12/1990; 5.221,05 ; -   ; 5.221,05 ;Demanda Espontânea (DE);Gestão Integrada de Resíduos Sólidos
1990;;CV018/90;Educação Ambiental;Centro de Estudos Avançados de Promoção Social - Ceaps;Projeto Saúde e Alegria;RJ;Sudeste ;;Mata Atlântica;OSC;30/11/1990;24/12/1990;31/12/1990; 102.815,21 ; 4.473,00 ; 107.288,21 ;Demanda Espontânea (DE);Educação Ambiental
1991;;CV001/91;Educação Ambiental;Prefeitura Municipal de Curitiba;Educação Ambiental no Zoológico;PR;Sul ;;Mata Atlântica;Municipal;04/11/1991;08/11/1991;31/12/1991; 14.261,12 ; -   ; 14.261,12 ;Demanda Espontânea (DE);Educação Ambiental
1991;;CV002/91;Água e Floresta;Prefeitura Municipal de Capanema;Construção de Viveiro Florestal;PR;Sul ;;Mata Atlântica;Municipal;30/09/1991;18/10/1991;31/12/1991; 8.269,95 ; 61.084,00 ; 69.353,95 ;Demanda Espontânea (DE);Extensão Florestal
1991;;CV003/91;Água e Floresta;Prefeitura Municipal de Curitiba;Implementação, Recuperação e Formação de Viveiros para Produção de Mudas Nativas.;PR;Sul ;;Mata Atlântica;Municipal;04/11/1991;08/11/1991;31/12/1991; 65.619,31 ; 45.964,00 ; 111.583,31 ;Demanda Espontânea (DE);Extensão Florestal
1991;;CV004/91;Qualidade Ambiental;Fundação Centro Tecnológico de Minas Gerais - Cetec;Desenvolvimento de Métodos e Técnicas de Bioindicadores de Qualidade de Água na Bacia do Alto Rio das Velhas;MG;Sudeste ;;Cerrado;Estadual;20/09/1991;14/10/1991;31/12/1991; 32.304,49 ; 31.393,00 ; 63.697,49 ;Demanda Espontânea (DE);Qualidade Ambiental
1991;;CV005/91;Qualidade Ambiental;Fundação Centro Tecnológico de Minas Gerais - Cetec;Desenvolvimento de Metodologia para Diagnosticar Causas de Mortandade de Peixes;MG;Sudeste ;;Cerrado;Estadual;20/09/1991;14/10/1991;31/12/1991; 19.265,22 ; 20.924,00 ; 40.189,22 ;Demanda Espontânea (DE);Qualidade Ambiental
1991;;CV006/91;Uso Sustentável dos Recursos Pesqueiros;Universidade Federal do Acre;Levantamento da Ictiofauna e Estudos Limnológicos do Rio Acre e Lagos Marginais/ Apoio ao Inventário Biológico do Acre;AC;Norte ;;Amazônia ;Federal;23/09/1991;14/10/1991;31/12/1991; 23.912,37 ; -   ; 23.912,37 ;Demanda Espontânea (DE);Uso Sustentável dos Recursos Pesqueiros
1991;;CV007/91;Água e Floresta;Fundação Centro Tecnológico de Minas Gerais - Cetec;Estudo e Recuperação de Áreas Eroditas no Município de Resende Costa - Módulo I - 1ª Fase ;MG;Sudeste ;;Mata Atlântica;Estadual;20/09/1991;14/10/1991;31/12/1991; 11.982,03 ; 16.332,00 ; 28.314,03 ;Demanda Espontânea (DE);Extensão Florestal
1991;;CV008/91;Qualidade Ambiental;Fundação Centro Tecnológico de Minas Gerais - Cetec;Estratégias de Recuperação da Bacia do Rio Verde Grande;MG;Sudeste ;;Cerrado;Estadual;20/09/1991;14/10/1991;31/12/1991; 100.522,18 ; 106.076,00 ; 206.598,18 ;Demanda Espontânea (DE);Qualidade Ambiental
1991;;CV009/91;Gestão de Áreas Protegidas;Fundação Centro Tecnológico de Minas Gerais - Cetec;Ecofisiologia da Candeia (Vanillosmopsis Sp.) Visando seu Aproveitamento Ecológico E Econômico;MG;Sudeste ;;Cerrado;Estadual;20/09/1991;14/10/1991;31/12/1991; 23.964,06 ; 9.744,00 ; 33.708,06 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1991;;CV010/91;Qualidade Ambiental;Fundação Centro Tecnológico de Minas Gerais - Cetec;Controle de Qualidade em Laboratório de Águas e Efluentes;MG;Sudeste ;;Mata Atlântica;Estadual;20/09/1991;14/10/1991;31/12/1991; 19.970,05 ; 23.000,00 ; 42.970,05 ;Demanda Espontânea (DE);Qualidade Ambiental
1991;;CV011/91;Água e Floresta;Fundação Estadual de Proteção Ambiental – Fepam/RS;Tratamento Integrado e Dinâmico de Preservação da Floresta Atlântica;RS;Sul ;;Mata Atlântica;Estadual;29/09/1991;21/10/1991;31/12/1991; 58.735,44 ; 18.541,00 ; 77.276,44 ;Demanda Espontânea (DE);Extensão Florestal
1991;;CV012/91;Água e Floresta;Fundação Estadual do Meio Ambiente – Feam/MG;Ee Mapeamento dos Remanescentes da Mata Atlântica e Ecossistemas Associados na Região do Estado de Minas Gerais ;MG;Sudeste ;;Mata Atlântica;Estadual;09/10/1991;24/10/1991;31/12/1991; 91.440,76 ; -   ; 91.440,76 ;Demanda Espontânea (DE);Extensão Florestal
1991;;CV013/91;Gestão de Áreas Protegidas;Empresa Brasileira de Pesquisa Agropecuária – Embrapa/Cenargen;Ações do Cenargen na Área do Meio Ambiente;DF;Centro Oeste;;Cerrado;Federal;10/10/1991;21/10/1991;31/12/1991; 148.637,97 ; 40.268,00 ; 188.905,97 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1991;;CV014/91;Amazônia Sustentável;Instituto do Meio Ambiente do Acre - Imac;Unidade Demonstrativa de Manejo;AC;Norte ;;Amazônia ;Estadual;17/10/1991;08/11/1991;31/12/1991; 119.662,38 ; 3.035,00 ; 122.697,38 ;Demanda Espontânea (DE);Amazônia Sustentável
1991;;CV015/91;Gestão de Áreas Protegidas;Instituto Vida Cultura e Ambiente;Estudo da Viabilidade de Preservação e Implantação de Unidade de Conservação na Serra Azul, Município de Barra do Garças;DF;Centro Oeste;;Cerrado;OSC;17/10/1991;28/10/1991;31/12/1991; 15.859,89 ; -   ; 15.859,89 ;Demanda Espontânea (DE);Gestão de Áreas Protegidas
1991;;CV016/91;Qualidade Ambiental;Secretária de Estado de Ciências, Tecnologia e Meio Ambiente do Estado do Pará    ;Mercúrio na Garimpagem;PA;Norte ;;Amazônia ;Estadual;17/10/1991;08/11/1991;31/12/1991; 37.473,64 ; 48.699,00 ; 86.172,64 ;Demanda Espontânea (DE);Qualidade Ambiental
1991;;CV017/91;Qualidade Ambiental;Instituto do Meio Ambiente do Acre - Imac;Programa de Gerenciamento dos Recursos Hídricos do Estado do Acre;AC;Norte ;;Amazônia ;Estadual;17/10/1991;08/11/1991;31/12/1991; 96.317,60 ; 9.195,00 ; 105.512,60 ;Demanda Espontânea (DE);Qualidade Ambiental
1991;;CV018/91;Amazônia Sustentável;Instituto Vida Cultura e Ambiente ;Manejo Sustentado do Território Munduruku;PA;Norte ;;Amazônia ;OSC;17/10/1991;28/10/1991;31/12/1991; 80.061,46 ; -   ; 80.061,46 ;Demanda Espontânea (DE);Amazônia Sustentável
1991;;CV019/91;Amazônia Sustentável;Centro Ecumênico de documentação e Informação – Cedi ;Monitoramento de Terras Indígenas da Amazônia;PA;Norte ;;Amazônia ;OSC;17/10/1991;28/10/1991;31/12/1991; 108.735,98 ; 102.847,00 ; 211.582,98 ;Demanda Espontânea (DE);Amazônia Sustentável
1991;;CV020/91;Educação Ambiental;Movimento em Defesa da Ecologia e Meio Ambiente - Agrias;Ecologia e Educação - Perspectiva de Uma Proposta de Educação Ambiental para o Município de São José, SC ;SC;Sul ;;Mata Atlântica;OSC;17/10/1991;28/10/1991;31/12/1991; 3.986,82 ; 1.402,00 ; 5.388,82 ;Demanda Espontânea (DE);Educação Ambiental
1991;;CV021/91;Amazônia Sustentável;Comissão de Apoio Indígena ao Povo Nambiquara;Reconhecimento, Vigilância, Fiscalização e Ocupação dos Limites da Área Indígena de Guaporé;RO;Norte ;;Amazônia ;OSC;17/10/1991;28/10/1991;31/12/1991; 54.051,65 ; -   ; 54.051,65 ;Demanda Espontânea (DE);Amazônia Sustentável
1991;;CV022/91;Gestão de Áreas Protegidas;Fundação de Amparo e Desenvolvimento da Pesquisa - Fadesp;Espeleológico Monte Alegre;PA;Norte ;;Amazônia ;OSC;18/10/1991;28/10/1991;31/12/1991; 3.860,83 ; -   ; 3.860,83 ;Demanda Espontânea (DE);Gestão de Áreas Protegidas
1991;;CV023/91;Gestão de Áreas Protegidas;Fundação Pró-natureza – Funatura;Implantação do Santuário da Vida Silvestre da Forquilha;RJ;Sudeste ;;Mata Atlântica;OSC;17/10/1991;28/10/1991;31/12/1991; 8.023,62 ; -   ; 8.023,62 ;Demanda Espontânea (DE);Gestão de Áreas Protegidas
1991;;CV024/91;Educação Ambiental;Fundação Pró-natureza – Funatura;Implantação do Parque Nacional da Chapada dos Veadeiros;DF;Centro Oeste;;Cerrado;OSC;17/10/1991;28/10/1991;31/12/1991; 14.630,52 ; -   ; 14.630,52 ;Demanda Espontânea (DE);Educação Ambiental
1991;;CV025/91;Gestão de Áreas Protegidas;Fundação Pró-natureza – Funatura;Conservação da Avifauna da Amazônia Continuação);DF;Centro Oeste;;Amazônia ;OSC;17/10/1990;20/10/1991;31/12/1991; 26.213,02 ; -   ; 26.213,02 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1991;;CV026/91;Gestão de Áreas Protegidas;Centro de Pesquisa e Manejo de Abrolhos ;Dinâmica Ambiental do Sistema Coralíneo do Banco dos Abrolhos e Região Costeira Adjacente;BA;Nordeste  ;;Marítimo;OSC;17/10/1991;28/10/1991;31/12/1991; 121.921,01 ; 126,00 ; 122.047,01 ;Demanda Espontânea (DE);Manejo Sustentável da Flora e da Fauna
1991;;CV027/91;Amazônia Sustentável;Instituto de Estudos Amazônicos - Iea;Programa Nacional de Reservas Extrativistas;PR;Sul ;;Amazônia ;OSC;17/10/1991;28/10/1991;31/12/1991; 64.211,73 ; -   ; 64.211,73 ;Demanda Espontânea (DE);Amazônia Sustentável
1991;;CV028/91;Educação Ambiental;Centro de Estudos Avançados de Promoção Social - Ceaps;Saúde e Alegria (Continuação) ;RJ;Sudeste ;;Mata Atlântica;OSC;31/12/1991;28/10/1991;31/03/1992; 123.400,23 ; 49.658,00 ; 173.058,23 ;Demanda Espontânea (DE);Educação Ambiental
